id,area,type,category,description,status,priority,progress,businessValueScore,roiProjection,costEstimate,maturityLevel_level,maturityLevel_score,maturityLevel_description,applicability_type,applicability_description,applicability_weight,implementationPhase,businessJustification,consequences_immediate,consequences_type,consequences_impact,assignee,dueDate,lastUpdated,cafPrinciple,cafPrinciple2,nisReference
UR-F43,User,Functional,Feedback & Continuous Improvement,"Users shall be able to provide in-app feedback on features and suggest improvements, with a visible feedback loop on the status of their suggestions.",In Progress,Medium,86,4.7,193,217809,Optimizing,5,Continuously improving,Essential,Critical for operations,1,Phase 1 (0-6 months),This feedback & continuous improvement supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Financial,Significant,Compliance Team,24/06/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-F44,User,Functional,Training & Knowledge Management,The system shall provide integrated learning paths for users to develop skills across IT and OT domains relevant to network segmentation.,In Progress,High,73,4.9,141,66395,Developing,2,Some processes defined,Not Applicable,Not relevant to current scope,,Phase 1 (0-6 months),This training & knowledge management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Security,Severe,Compliance Team,27/10/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF1,User,Non-Functional,Visualisation & User Interface,The user interface for managing network segmentation shall be intuitive and require minimal training for IT/OT staff.,On Hold,Medium,62,1.9,93,287342,Initial,1,"Ad-hoc, no formal process",Conditional,Depends on other factors,0.4,Phase 2 (6-12 months),This visualisation & user interface supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Security,Severe,Security Team,02/07/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF2,User,Non-Functional,Access Control & Authentication,The system shall authenticate users before granting access to segmentation management functions.,Under Review,Critical,89,2.8,88,258457,Optimizing,5,Continuously improving,Not Applicable,Not relevant to current scope,,Phase 2 (6-12 months),This access control & authentication supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Compliance,Significant,Compliance Team,11/10/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF3,User,Non-Functional,Access Control & Authentication,"The system shall provide role-based access control for different user types (e.g., administrators, operators, auditors).",Not Started,High,31,3.7,263,293960,Managed,4,Measured and controlled,Future,Planned for future phases,0.6,Phase 2 (6-12 months),This access control & authentication supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Operational,Moderate,Network Team,18/09/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF4,User,Non-Functional,Visualization & User Interface,The system shall respond to user interactions within 2 seconds under normal operating conditions.,Under Review,Low,37,1.3,253,140898,Managed,4,Measured and controlled,Future,Planned for future phases,0.6,Phase 1 (0-6 months),This visualization & user interface supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Operational,Significant,Operations Team,11/04/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF5,User,Non-Functional,Multi-Platform Access,"The user interface shall be accessible from both IT and OT networks, with appropriate security controls.",Completed,Critical,93,3.8,131,283803,Managed,4,Measured and controlled,Essential,Critical for operations,1,Future (24+ months),This multi-platform access supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Compliance,Significant,Security Team,20/11/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF6,User,Non-Functional,Concurrent Usage & Performance,The system shall support concurrent access by multiple users without degradation in performance.,Under Review,Critical,8,3.7,99,479756,Initial,1,"Ad-hoc, no formal process",Essential,Critical for operations,1,Phase 3 (12-24 months),This concurrent usage & performance supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Operational,Significant,Security Team,15/12/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF7,User,Non-Functional,Visualisation & User Interface,The user interface shall be compatible with standard web browsers and not require special software installation.,On Hold,Critical,80,1.5,243,415736,Initial,1,"Ad-hoc, no formal process",Essential,Critical for operations,1,Phase 2 (6-12 months),This visualisation & user interface supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Financial,Severe,Security Team,03/03/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF8,User,Non-Functional,Usability & Accessibility,"The system shall provide clear, actionable error messages to users when issues occur.",Completed,Medium,17,4.4,67,89430,Developing,2,Some processes defined,Essential,Critical for operations,1,Phase 2 (6-12 months),This usability & accessibility supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Security,Minor,Security Team,18/09/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF9,User,Non-Functional,Auditability & Traceability,The system shall maintain an audit log of all user actions related to network segmentation changes.,Under Review,High,89,3.2,135,144342,Optimizing,5,Continuously improving,Applicable,Relevant and beneficial,0.8,Phase 3 (12-24 months),This auditability & traceability supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Operational,Significant,Security Team,16/04/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF10,User,Non-Functional,Internationalisation & Localisation,The user interface shall be available in multiple languages to support a diverse workforce.,Completed,Medium,45,4.8,267,192114,Defined,3,Documented and standardized,Not Applicable,Not relevant to current scope,,Phase 1 (0-6 months),This internationalisation & localisation supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Financial,Severe,Network Team,06/11/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF11,User,Non-Functional,Training & Knowledge Management,The system shall provide context-sensitive help and documentation accessible from the user interface.,Not Started,Critical,88,3.5,152,446956,Defined,3,Documented and standardized,Applicable,Relevant and beneficial,0.8,Phase 1 (0-6 months),This training & knowledge management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Financial,Significant,Security Team,06/02/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF12,User,Non-Functional,Visualisation & User Interface,The system shall allow users to customize dashboards and reports according to their specific needs.,Completed,High,80,4.8,213,44161,Defined,3,Documented and standardized,Essential,Critical for operations,1,Phase 2 (6-12 months),This visualisation & user interface supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Financial,Minor,Identity Team,27/10/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF13,User,Non-Functional,Usability & Accessibility,"The user interface shall be designed to be accessible for users with disabilities, complying with relevant accessibility standards.",On Hold,Medium,25,3.3,267,428972,Defined,3,Documented and standardized,Not Applicable,Not relevant to current scope,,Phase 1 (0-6 months),This usability & accessibility supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Operational,Minor,Network Team,07/01/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF14,User,Non-Functional,Access Control & Authentication,The system shall support secure multi-factor authentication for user access.,In Progress,High,52,4.9,168,377149,Defined,3,Documented and standardized,Conditional,Depends on other factors,0.4,Phase 3 (12-24 months),This access control & authentication supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Operational,Moderate,Operations Team,15/06/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF15,User,Non-Functional,Multi-Platform Access,The system shall provide a mobile-friendly interface for basic monitoring and alerts.,Not Started,Critical,72,4.3,242,372982,Defined,3,Documented and standardized,Essential,Critical for operations,1,Phase 1 (0-6 months),This multi-platform access supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Compliance,Significant,Security Team,27/12/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF16,User,Non-Functional,Environment Distinction,"The user interface shall clearly distinguish between different environments (e.g., production, testing, development) to prevent user errors.",On Hold,Low,14,4.3,267,180200,Managed,4,Measured and controlled,Conditional,Depends on other factors,0.4,Phase 2 (6-12 months),This environment distinction supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Financial,Moderate,Compliance Team,18/12/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF17,User,Non-Functional,Environment Distinction,The system shall provide a consistent user experience across different types of OT devices and network segments.,Under Review,Medium,59,2.1,77,43219,Optimizing,5,Continuously improving,Conditional,Depends on other factors,0.4,Phase 1 (0-6 months),This environment distinction supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Financial,Minor,Network Team,09/06/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF18,User,Non-Functional,Troubleshooting & Maintenance,The system shall allow users to schedule non-disruptive maintenance activities for network segmentation components.,Not Started,Critical,83,2.6,102,399110,Initial,1,"Ad-hoc, no formal process",Essential,Critical for operations,1,Future (24+ months),This troubleshooting & maintenance supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Compliance,Severe,Network Team,08/07/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF19,User,Non-Functional,Usability & Accessibility,The user interface shall provide visual alerts for critical events or policy violations in the segmented network.,Completed,Medium,3,1.5,56,95246,Optimizing,5,Continuously improving,Not Applicable,Not relevant to current scope,,Phase 1 (0-6 months),This usability & accessibility supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Security,Severe,Identity Team,07/11/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF20,User,Non-Functional,Identity & Authentication Integration,The system shall support integration with existing enterprise single sign-on (SSO) solutions.,In Progress,Low,18,2.7,217,483397,Developing,2,Some processes defined,Not Applicable,Not relevant to current scope,,Future (24+ months),This identity & authentication integration supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Operational,Severe,Network Team,08/09/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF21,User,Non-Functional,Configuration & Change Management,The system shall maintain a version history of network segmentation configurations and allow rollback to previous versions.,Not Started,High,97,2.8,207,57136,Managed,4,Measured and controlled,Conditional,Depends on other factors,0.4,Phase 1 (0-6 months),This configuration & change management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Compliance,Severe,Compliance Team,17/09/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF22,User,Non-Functional,"Multi-site, Multi-tenant & Geographic Distribution",The system shall support management of network segmentation across geographically distributed OT sites from a centralised location.,Completed,Low,85,4.4,221,336508,Developing,2,Some processes defined,Applicable,Relevant and beneficial,0.8,Phase 3 (12-24 months),"This multi-site, multi-tenant & geographic distribution supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.",Security vulnerability,Compliance,Significant,Compliance Team,02/08/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF23,User,Non-Functional,Environmental & Physical Considerations,The system shall provide basic functionality for viewing and managing network segmentation in environments with intermittent connectivity.,Completed,Critical,70,1.2,149,158685,Developing,2,Some processes defined,Essential,Critical for operations,1,Phase 1 (0-6 months),This environmental & physical considerations supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Compliance,Moderate,Security Team,06/06/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF24,User,Non-Functional,Feedback & Continuous Improvement,The system shall provide a mechanism for users to submit feedback and feature requests directly through the interface.,Completed,Low,11,1.1,40,46812,Initial,1,"Ad-hoc, no formal process",Future,Planned for future phases,0.6,Phase 3 (12-24 months),This feedback & continuous improvement supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Security,Severe,Security Team,01/06/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF25,User,Non-Functional,Sustainability & Environmental Impact,The system shall provide energy consumption metrics related to network segmentation devices to support environmental sustainability initiatives.,Under Review,Low,94,2.5,195,421108,Defined,3,Documented and standardized,Not Applicable,Not relevant to current scope,,Future (24+ months),This sustainability & environmental impact supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Security,Severe,Network Team,05/05/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF26,User,Non-Functional,"Multi-site, Multi-tenant & Geographic Distribution",The system shall support multi-tenancy to allow management of network segmentation for multiple independent OT environments or customers.,Not Started,High,65,1.2,273,431516,Defined,3,Documented and standardized,Applicable,Relevant and beneficial,0.8,Phase 3 (12-24 months),"This multi-site, multi-tenant & geographic distribution supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.",Operational risk,Security,Minor,Compliance Team,04/01/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF27,User,Non-Functional,Usability & Accessibility,The system shall comply with Web Content Accessibility Guidelines (WCAG) 2.1 Level AA to ensure usability for users with disabilities.,Not Started,High,56,4.3,66,198840,Developing,2,Some processes defined,Not Applicable,Not relevant to current scope,,Phase 1 (0-6 months),This usability & accessibility supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Financial,Significant,Identity Team,08/08/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF28,User,Non-Functional,Multi-Platform Access,"The user interface shall be accessible and fully functional across desktop, tablet, and mobile devices with a consistent user experience.",On Hold,Low,21,4.5,62,363706,Initial,1,"Ad-hoc, no formal process",Applicable,Relevant and beneficial,0.8,Future (24+ months),This multi-platform access supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Security,Severe,Operations Team,04/04/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF29,User,Non-Functional,Feedback & Continuous Improvement / Internationalisation & Localisation,The system shall support real-time translation of user interface elements and alerts to facilitate collaboration in multinational environments.,Completed,Medium,41,4.2,109,150185,Developing,2,Some processes defined,Not Applicable,Not relevant to current scope,,Phase 3 (12-24 months),This feedback & continuous improvement / internationalisation & localisation supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Security,Moderate,Compliance Team,05/10/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF30,User,Non-Functional,Usability & Accessibility,The system shall provide haptic feedback options for critical alerts and confirmations on compatible mobile devices.,Under Review,Critical,42,1.1,174,375825,Optimizing,5,Continuously improving,Conditional,Depends on other factors,0.4,Phase 3 (12-24 months),This usability & accessibility supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Financial,Minor,Compliance Team,27/02/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF31,User,Non-Functional,Usability & Accessibility,The system shall adapt its user interface complexity based on the user's experience level and frequency of use.,Not Started,Low,84,3.4,97,463363,Managed,4,Measured and controlled,Essential,Critical for operations,1,Phase 3 (12-24 months),This usability & accessibility supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Compliance,Moderate,Identity Team,04/07/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF32,User,Non-Functional,Ethical & Responsible AI,"The system shall provide transparency about AI-driven decisions in segmentation management, allowing users to understand and override if necessary.",On Hold,Critical,94,3.4,45,49518,Managed,4,Measured and controlled,Conditional,Depends on other factors,0.4,Phase 3 (12-24 months),This ethical & responsible ai supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Operational,Moderate,Compliance Team,26/01/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
UR-NF33,User,Non-Functional,Usability & Accessibility,"The system shall adapt its interface to reduce cognitive load during high-stress situations, such as active security incidents.",Under Review,High,41,4.7,157,287026,Defined,3,Documented and standardized,Applicable,Relevant and beneficial,0.8,Future (24+ months),This usability & accessibility supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Financial,Severe,Identity Team,06/12/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F1,System,Functional,Network Architecture & Design,"The system shall implement network segmentation using VLANs, firewalls, and/or physical separation as appropriate for different OT network zones.",Not Started,Critical,71,1.9,89,509872,Optimizing,5,Continuously improving,Not Applicable,Not relevant to current scope,,Phase 3 (12-24 months),This network architecture & design supports regulatory compliance and operational security. Mapped to B4: System security. Addresses NIS Regulation 10(2)(a) - Technical measures to prevent incidents.,Security vulnerability,Security,Minor,Network Team,20/12/2025,06/06/2025,B4: System security,< - Blank | Not Applicable - >,NIS Regulation 10(2)(a) - Technical measures to prevent incidents
SR-F2,System,Functional,Network Architecture & Design,The system shall support the creation and management of at least 100 distinct network segments.,Under Review,Low,41,3.7,274,295982,Initial,1,"Ad-hoc, no formal process",Not Applicable,Not relevant to current scope,,Phase 2 (6-12 months),This network architecture & design supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Financial,Minor,Network Team,20/04/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F3,System,Functional,Remote Management & Monitoring,"The system shall provide a centralized management console for configuring and monitoring all segmentation devices (e.g., firewalls, switches).",In Progress,Critical,67,2.4,27,376769,Managed,4,Measured and controlled,Conditional,Depends on other factors,0.4,Phase 2 (6-12 months),This remote management & monitoring supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Compliance,Severe,Network Team,22/08/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F4,System,Functional,Integration Capabilities,"The system shall support integration with common industrial protocols (e.g., Modbus, Profinet, EtherNet/IP) for deep packet inspection and filtering.",Under Review,Medium,45,4.3,143,423723,Initial,1,"Ad-hoc, no formal process",Conditional,Depends on other factors,0.4,Phase 1 (0-6 months),This integration capabilities supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Operational,Moderate,Operations Team,03/02/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F5,System,Functional,Access Control & Authentication,"The system shall implement role-based access control (RBAC) for network segment access, supporting at least 20 distinct roles.",Under Review,Low,66,2.6,253,307470,Initial,1,"Ad-hoc, no formal process",Essential,Critical for operations,1,Phase 1 (0-6 months),This access control & authentication supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Compliance,Severe,Network Team,19/04/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F6,System,Functional,Monitoring & Detection,The system shall provide real-time monitoring and alerting for unauthorized access attempts between network segments.,In Progress,Critical,4,4.9,59,169023,Initial,1,"Ad-hoc, no formal process",Conditional,Depends on other factors,0.4,Future (24+ months),This monitoring & detection supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Operational,Moderate,Security Team,01/01/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F7,System,Functional,Access Control & Authentication / Remote Access,"The system shall support secure remote access to OT devices using protocols such as SSH, RDP, or VNC with multi-factor authentication.",Completed,Medium,13,1.2,149,42004,Optimizing,5,Continuously improving,Conditional,Depends on other factors,0.4,Phase 1 (0-6 months),This access control & authentication / remote access supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Security,Significant,Compliance Team,31/07/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F8,System,Functional,Secure Gateway & DMZ,The system shall implement a demilitarized zone (DMZ) with proxy servers for secure data exchange between OT and IT networks.,Not Started,Critical,30,4.4,160,434352,Initial,1,"Ad-hoc, no formal process",Essential,Critical for operations,1,Future (24+ months),This secure gateway & dmz supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Compliance,Moderate,Security Team,07/01/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F9,System,Functional,Device & Firmware Management,The system shall provide automated network discovery and asset inventory capabilities across all segments.,Not Started,Critical,22,2.3,134,96759,Defined,3,Documented and standardized,Conditional,Depends on other factors,0.4,Phase 2 (6-12 months),This device & firmware management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Compliance,Moderate,Identity Team,10/04/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F10,System,Functional,Configuration & Change Management,"The system shall support the creation and enforcement of granular firewall rules between network segments based on IP address, port, protocol, and application.",Under Review,Critical,4,1.8,59,414473,Defined,3,Documented and standardized,Essential,Critical for operations,1,Phase 2 (6-12 months),This configuration & change management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Security,Minor,Operations Team,20/11/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F11,System,Functional,Access Control & Authentication,The system shall implement network access control (NAC) to authenticate and authorize devices before allowing connection to OT network segments.,Not Started,High,18,2,63,26962,Initial,1,"Ad-hoc, no formal process",Future,Planned for future phases,0.6,Phase 2 (6-12 months),This access control & authentication supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Security,Severe,Network Team,02/05/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F12,System,Functional,Monitoring & Detection,"The system shall provide logging and auditing capabilities for all traffic between network segments, with log retention for at least 1 year.",Not Started,Medium,18,2.9,249,258060,Initial,1,"Ad-hoc, no formal process",Not Applicable,Not relevant to current scope,,Phase 3 (12-24 months),This monitoring & detection supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Operational,Significant,Network Team,15/07/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F13,System,Functional,Network Architecture & Design,The system shall support the implementation of virtual LANs (VLANs) for logical segmentation within physical network segments.,On Hold,High,57,2.7,101,243958,Optimizing,5,Continuously improving,Not Applicable,Not relevant to current scope,,Phase 1 (0-6 months),This network architecture & design supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Operational,Significant,Operations Team,27/12/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F14,System,Functional,Incident Response,The system shall provide the capability to quickly isolate a compromised network segment through automated or manual controls.,Completed,Low,52,4.5,50,357346,Developing,2,Some processes defined,Essential,Critical for operations,1,Future (24+ months),This incident response supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Operational,Moderate,Compliance Team,16/09/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F15,System,Functional,Time Synchronisation & Management,The system shall support secure time synchronization across all network segments using NTP or PTP protocols.,Under Review,Medium,70,1.1,105,367699,Developing,2,Some processes defined,Essential,Critical for operations,1,Phase 1 (0-6 months),This time synchronisation & management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Security,Severe,Operations Team,13/02/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F16,System,Functional,Monitoring & Detection,The system shall implement intrusion detection and prevention systems (IDS/IPS) tailored for OT environments on inter-segment boundaries.,On Hold,Critical,64,4.6,130,348629,Developing,2,Some processes defined,Applicable,Relevant and beneficial,0.8,Phase 3 (12-24 months),This monitoring & detection supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Security,Minor,Security Team,18/11/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F17,System,Functional,Visualization & User Interface,The system shall provide a graphical interface for visualizing network topology and data flows between segments.,On Hold,Critical,28,3.8,146,308946,Initial,1,"Ad-hoc, no formal process",Not Applicable,Not relevant to current scope,,Phase 1 (0-6 months),This visualization & user interface supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Security,Moderate,Operations Team,16/05/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F18,System,Functional,Secure Data Flow,The system shall support the implementation of data diodes or unidirectional gateways where strict one-way communication is required.,In Progress,Critical,78,3.2,98,468300,Managed,4,Measured and controlled,Future,Planned for future phases,0.6,Phase 2 (6-12 months),This secure data flow supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Regulatory exposure,Compliance,Severe,Operations Team,09/02/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F19,System,Functional,Integration Capabilities,"The system shall provide APIs for integration with other security and management systems (e.g., SIEM, asset management).",On Hold,High,11,2.2,67,400979,Defined,3,Documented and standardized,Essential,Critical for operations,1,Phase 2 (6-12 months),This integration capabilities supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Compliance,Moderate,Security Team,05/08/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F20,System,Functional,Device & Firmware Management,The system shall support secure firmware updates for segmentation devices without disrupting network operations.,Under Review,High,52,4.4,137,317403,Managed,4,Measured and controlled,Applicable,Relevant and beneficial,0.8,Phase 3 (12-24 months),This device & firmware management supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Security,Moderate,Network Team,05/04/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F21,System,Functional,Secure Data Flow,The system shall support Quality of Service (QoS) mechanisms to prioritize critical OT traffic between network segments.,On Hold,High,68,4.4,182,39937,Managed,4,Measured and controlled,Not Applicable,Not relevant to current scope,,Phase 1 (0-6 months),This secure data flow supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Security vulnerability,Operational,Severe,Compliance Team,19/02/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F22,System,Functional,Secure Data Flow,The system shall support encryption of data in transit between network segments using protocols such as IPsec or TLS 1.3.,Not Started,Low,85,1.7,76,269540,Managed,4,Measured and controlled,Essential,Critical for operations,1,Phase 3 (12-24 months),This secure data flow supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Compliance gap,Financial,Minor,Security Team,14/02/2026,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F23,System,Functional,"Multi-site, Multi-tenant & Geographic Distribution",The system shall provide secure connectivity options for integrating cloud-based OT services with on-premises network segments.,Completed,Critical,83,4.8,245,62949,Optimizing,5,Continuously improving,Conditional,Depends on other factors,0.4,Phase 1 (0-6 months),"This multi-site, multi-tenant & geographic distribution supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.",Operational risk,Security,Significant,Operations Team,15/11/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
SR-F24,System,Functional,Network Architecture & Design,"The system shall support microsegmentation capabilities, allowing for segmentation down to the individual device or application level.",In Progress,Low,16,1.1,232,123597,Defined,3,Documented and standardized,Not Applicable,Not relevant to current scope,,Phase 2 (6-12 months),This network architecture & design supports regulatory compliance and operational security. Mapped to < - Blank | Not Applicable - >.,Operational risk,Security,Minor,Compliance Team,02/10/2025,06/06/2025,< - Blank | Not Applicable - >,< - Blank | Not Applicable - >,
